Gymnasieretning,Hovedfag (Studieretningsfag),Øvrige fag (Obligatoriske fag)
Naturvidenskabelig,"Matematik A; Fysik B/A; Kemi B","Dansk A; Engelsk B; Historie A; Religion C; Samfundsfag C; Biologi C; Idræt C; 2. fremmedsprog (fx Tysk B/Fransk B); Kunstnerisk fag C"
Bioteknologisk,"Bioteknologi A; Matematik A; Kemi B","Dansk A; Engelsk B; Historie A; Religion C; Samfundsfag C; Fysik C; Biologi C; Idræt C; 2. fremmedsprog; Kunstnerisk fag C"
Samfundsfaglig,"Samfundsfag A; Matematik B; Engelsk A","Dansk A; Historie A; Religion C; Biologi C; Fysik C; Kemi C; Idræt C; 2. fremmedsprog; Kunstnerisk fag C"
Sproglig,"Engelsk A; Fransk A; Spansk A","Dansk A; Historie A; Religion C; Samfundsfag C; Biologi C; Fysik C; Idræt C; Kunstnerisk fag C"
Kunstnerisk,"Musik A; Engelsk A","Dansk A; Historie A; Religion C; Samfundsfag C; Biologi C; Fysik C; Idræt C; 2. fremmedsprog"
Idrætsfaglig,"Idræt B; Biologi B","Dansk A; Historie A; Religion C; Samfundsfag C; Matematik C; Fysik C; Kemi C; Engelsk B; 2. fremmedsprog; Kunstnerisk fag C"
